"","1","2","3","4"
"0",2,1,1,0
"1",0,2,1,0
"2",0,0,0,1
"3",1,1,0,0
"4",0,2,1,0
"5",0,1,1,0
"6",2,3,0,0
"7",0,2,0,0
"8",2,0,1,0
"9",0,1,3,0
"10",3,0,1,0
"11",1,0,0,0
"12",0,1,1,0
"13",3,0,1,0
"14",1,1,1,1
"15",0,0,1,0
"16",0,0,1,1
"17",3,2,0,0
"18",0,0,1,1
"19",0,1,0,0
"20",0,1,1,0
"21",1,0,1,0
"22",1,1,2,0
"23",3,1,0,1
"24",0,0,1,2
"25",2,2,1,1
"26",3,2,1,0
"27",1,2,1,0
"28",1,0,0,2
"29",2,1,1,1
"30",2,0,0,0
"31",0,0,1,1
"32",0,1,0,0
"33",0,0,1,0
"34",1,1,1,0
"35",3,2,0,1
"36",2,2,2,0
"37",2,1,0,0
"38",1,0,2,0
"39",2,0,0,0
"40",3,1,0,2
"42",1,1,0,1
"43",0,2,2,1
"44",1,0,1,0
"45",5,0,2,0
"46",5,1,1,0
"47",3,1,1,0
"48",1,1,0,0
"49",0,3,0,3
"50",2,1,1,0
"51",1,0,1,0
"52",2,1,1,0
"53",1,2,0,1
"54",2,0,2,1
"55",2,0,1,0
"56",1,2,2,1
"57",1,0,0,0
"58",1,0,0,0
"59",0,1,1,1
"60",1,1,1,1
"61",2,0,0,3
"62",1,2,3,0
"63",1,0,0,0
"64",1,1,2,1
"66",1,1,2,1
"67",1,4,0,0
"68",1,1,0,0
"69",0,1,2,0
"70",1,0,0,1
"71",2,0,1,0
"72",3,0,1,0
"73",1,1,0,1
"74",4,0,0,0
"75",1,0,2,1
"76",2,1,0,0
"77",5,0,0,0
"78",0,1,1,4
"79",0,2,2,0
"80",1,1,0,1
"82",0,1,0,1
"83",2,1,1,0
"84",0,1,0,0
"85",1,0,0,0
"86",0,1,2,0
"87",3,3,1,1
"88",0,0,2,0
"89",0,1,0,0
"90",1,2,1,0
"91",1,0,1,0
"92",1,0,0,0
"93",2,0,2,1
"94",0,0,4,0
"95",0,0,1,0
"96",1,0,0,1
"97",0,1,0,0
"98",1,1,1,0
"99",0,1,2,0
"100",1,2,0,0
"101",1,0,0,2
"102",1,3,0,0
"103",2,0,0,0
"104",1,2,0,1
"105",0,0,0,1
"106",2,1,2,0
"107",1,1,3,1
"108",1,0,2,2
"109",1,1,0,0
"110",2,1,0,0
"111",2,2,0,1
"112",2,0,1,0
"113",0,2,0,3
"114",1,0,1,1
"115",2,0,1,1
"116",1,0,2,1
"117",0,0,0,2
"118",1,0,0,0
"119",0,3,0,1
"120",0,2,0,1
"122",0,3,1,0
"123",1,0,0,1
"124",1,1,0,0
"125",1,0,0,1
"126",2,0,1,0
"128",1,1,0,0
"129",0,2,1,1
"130",0,1,0,1
"131",0,1,3,1
"132",1,1,1,0
"133",1,0,0,0
"134",0,3,1,0
"135",0,1,3,0
"136",0,0,1,0
"137",1,0,1,0
"138",0,0,1,0
"139",0,0,1,0
"140",1,1,0,1
"141",1,2,0,0
"142",3,0,3,1
"143",1,1,0,0
"144",2,0,0,0
"145",0,1,1,0
"146",1,0,0,1
"147",0,0,1,0
"148",3,2,1,0
"149",2,0,0,0
"150",1,1,2,0
"151",1,0,2,0
"152",0,1,0,1
"153",2,2,1,0
"154",1,1,0,1
"155",2,1,4,0
"156",1,1,0,0
"157",0,4,1,0
"158",0,2,0,0
"159",0,0,0,1
"160",0,2,0,0
"161",0,1,1,1
"162",1,1,2,0
"163",2,3,1,0
"164",0,1,1,0
"165",2,1,0,0
"166",1,0,0,0
"167",1,3,1,0
"168",2,1,0,0
"170",2,0,0,0
"171",1,1,0,1
"172",1,0,0,0
"173",0,0,3,0
"174",0,2,1,2
"175",1,1,1,0
"176",0,0,1,0
"177",1,0,1,1
"178",1,0,2,1
"179",0,1,0,2
"181",2,0,0,1
"182",1,4,0,0
"183",1,1,1,0
"184",1,1,0,0
"185",1,0,2,1
"186",0,0,1,0
"187",0,0,0,1
"188",1,0,0,3
"189",3,2,1,2
"190",0,1,0,0
"191",1,0,1,0
"192",1,1,0,0
"193",0,1,1,0
"195",1,0,1,0
"197",0,0,0,1
"198",0,0,2,0
"199",0,0,0,1
"200",1,1,2,1
"201",1,1,0,0
"202",3,1,0,0
"203",0,0,2,0
"204",0,3,2,0
"205",0,1,0,1
"206",1,1,0,1
"207",2,4,0,0
"208",1,1,0,0
"209",2,4,1,2
"210",0,0,4,0
"211",1,1,1,0
"212",0,0,2,1
"213",0,0,1,1
"214",1,1,0,0
"215",1,0,0,1
"216",1,0,0,1
"217",1,1,0,0
"218",0,3,1,1
"219",1,2,0,1
"220",1,0,0,0
"221",3,1,0,1
"222",1,1,1,0
"223",0,1,1,2
"224",0,2,1,1
"225",0,1,0,1
"226",0,0,1,0
"227",1,2,0,0
"228",1,0,0,0
"229",0,1,0,0
"230",1,0,0,0
"232",0,1,1,0
"233",2,1,2,0
"234",1,1,1,0
"235",2,1,0,0
"236",0,1,0,0
"238",0,0,1,1
"241",1,2,0,0
"242",1,2,2,0
"243",1,1,0,2
"244",2,1,2,0
"245",1,2,0,0
"246",2,1,1,0
"247",3,1,2,1
"249",0,1,2,1
"250",0,0,1,2
"251",1,0,1,2
"252",1,3,0,0
"253",1,1,0,2
"254",1,0,1,1
"255",2,0,0,0
"256",1,1,1,1
"257",1,1,0,1
"258",3,0,1,0
"259",0,0,0,1
"260",1,2,0,1
"261",2,0,0,1
"262",2,0,1,0
"263",1,5,2,0
"265",3,2,1,1
"267",0,3,0,1
"268",1,0,2,0
"269",2,0,0,1
"270",0,2,2,0
"271",0,0,0,1
"272",1,0,0,2
"273",0,1,2,0
"274",0,2,0,1
"275",1,0,1,1
"276",1,1,0,0
"277",2,0,0,0
"278",1,1,1,0
"279",0,3,1,0
"280",2,0,3,2
"281",1,2,0,1
"282",0,1,1,0
"283",1,1,0,1
"284",0,2,1,0
"285",2,2,2,0
"286",3,2,4,0
"287",0,0,0,2
"288",0,2,0,1
"289",1,1,0,1
"290",0,2,0,1
"291",2,2,1,1
"292",2,4,1,0
"293",1,1,1,1
"294",2,2,0,0
"295",1,1,1,0
"296",1,0,1,0
"297",2,1,1,1
"298",0,2,0,0
"299",0,1,0,0
"300",1,0,0,0
"301",0,0,1,0
"302",2,1,1,0
"303",3,2,0,0
"304",0,1,1,0
"305",0,1,2,1
"306",0,0,1,0
"307",3,2,1,0
"308",1,0,1,0
"309",0,1,0,0
"310",0,1,0,0
"311",0,1,2,2
"312",1,2,0,1
"313",1,1,0,0
"314",1,3,3,0
"315",0,0,1,1
"316",0,1,1,0
"317",0,0,0,1
"318",3,0,2,2
"319",0,1,2,1
"320",3,1,0,0
"321",1,0,2,1
"322",1,1,1,0
"324",1,0,0,2
"326",1,2,0,0
"328",3,0,0,0
"329",1,0,1,0
"330",0,0,0,1
"331",2,2,0,1
"332",0,0,2,1
"333",0,0,1,2
"335",2,1,0,0
"336",0,2,1,1
"338",0,4,0,1
"339",1,1,1,0
"340",0,2,0,0
"342",2,1,1,1
"343",0,2,2,1
"344",0,1,1,1
"345",1,0,0,5
"346",3,3,0,0
"347",0,2,0,0
"348",0,0,1,0
"349",0,1,1,0
"350",2,1,4,0
"351",1,0,1,1
"352",3,1,1,1
"353",1,2,1,0
"354",0,0,1,0
"355",0,0,1,0
"356",0,1,1,0
"357",1,2,0,0
"358",1,0,0,0
"359",2,0,0,0
"360",3,0,0,1
"361",1,0,1,0
"362",0,1,4,0
"363",1,1,0,1
"364",1,0,1,0
